No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
83,5.614154,192.168.0.2,192.168.0.1,COTP,61,0.000551,56667,102,1989,5792,128,"Jan 22, 2024 16:20:47.530510000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
84,5.61435,192.168.0.2,192.168.0.1,COTP,61,0.000196,56667,102,1996,6054,128,"Jan 22, 2024 16:20:47.530706000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
85,5.678911,192.168.0.13,192.168.0.1,TCP,60,0,55738,102,1,1,64,"Jan 22, 2024 16:20:47.595267000 China Standard Time",,,,,,55738  >  102 [ACK] Seq=1 Ack=1 Win=64191 Len=0,Abnormal
86,5.926522,192.168.0.2,192.168.0.1,COTP,145,0.312172,56667,102,2003,6054,128,"Jan 22, 2024 16:20:47.842878000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
87,5.926909,192.168.0.2,192.168.0.1,COTP,61,0.000387,56667,102,2094,6108,128,"Jan 22, 2024 16:20:47.843265000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
88,5.927097,192.168.0.2,192.168.0.1,TCP,54,0.000188,56667,102,2101,6370,128,"Jan 22, 2024 16:20:47.843453000 China Standard Time",,,,,,56667  >  102 [ACK] Seq=2101 Ack=6370 Win=64240 Len=0,Normal
89,5.927133,192.168.0.2,192.168.0.1,COTP,61,0.000036,56667,102,2101,6370,128,"Jan 22, 2024 16:20:47.843489000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
90,6.235962,192.168.0.2,192.168.0.1,COTP,145,0.308829,56667,102,2108,6370,128,"Jan 22, 2024 16:20:48.152318000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
91,6.236457,192.168.0.2,192.168.0.1,COTP,61,0.000495,56667,102,2199,6424,128,"Jan 22, 2024 16:20:48.152813000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
92,6.236704,192.168.0.2,192.168.0.1,COTP,61,0.000247,56667,102,2206,6686,128,"Jan 22, 2024 16:20:48.153060000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
93,6.447872,192.168.0.2,192.168.0.1,COTP,61,0.911576,56665,102,57,960,128,"Jan 22, 2024 16:20:48.364228000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
94,6.507354,192.168.1.241,192.168.1.1,COTP,61,1.012565,62991,102,350,637,128,"Jan 22, 2024 16:20:48.423710000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
95,6.54974,192.168.0.2,192.168.0.1,COTP,145,0.313036,56667,102,2213,6686,128,"Jan 22, 2024 16:20:48.466096000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
96,6.550217,192.168.0.2,192.168.0.1,COTP,61,0.000477,56667,102,2304,6740,128,"Jan 22, 2024 16:20:48.466573000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
97,6.550468,192.168.0.2,192.168.0.1,COTP,61,0.000251,56667,102,2311,7002,128,"Jan 22, 2024 16:20:48.466824000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
98,6.784151,192.168.0.2,192.168.0.1,COTP,61,0.336279,56665,102,64,1009,128,"Jan 22, 2024 16:20:48.700507000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
